time,minvar_x,minvar_y,minvar_z
"2019-08-02/02:39:04",0.7643514131903435,-0.6446602407935916,0.01341980230378453
"2019-08-02/02:39:19",0.7635180171017792,-0.6456468300859267,0.01343161795770733
"2019-08-02/02:39:34",0.7668337001357645,-0.6417241094991062,0.01249974494423678
"2019-08-02/02:39:49",0.7666131952605534,-0.6419432444644213,0.01459725107331831
"2019-08-02/02:40:04",0.7680984808070680,-0.6402100479313516,0.01248272044108607
"2019-08-02/02:40:19",0.7699215031455174,-0.6379746783694968,0.01446335899728986
"2019-08-02/02:40:34",0.7692807366400654,-0.6387655079922077,0.01362989486295165
"2019-08-02/02:40:49",0.7721874332728794,-0.6352510717688364,0.01351457405865350
"2019-08-02/02:41:04",0.7713037770763372,-0.6362929543958048,0.01489159675906067
"2019-08-02/02:41:19",0.7731415392366364,-0.6340991833758832,0.01305319688210587
"2019-08-02/02:41:34",0.7738911615120352,-0.6331377960848670,0.01513278898122441
"2019-08-02/02:41:49",0.7736472833906911,-0.6334674985071709,0.01374078735994566
"2019-08-02/02:42:04",0.7759224390205497,-0.6306648997042240,0.01435802582051358
"2019-08-02/02:42:19",0.7747942761638762,-0.6320368865573452,0.01494000182707080
"2019-08-02/02:42:34",0.7767859252334900,-0.6296170513090834,0.01363800058679679
"2019-08-02/02:42:49",0.7766920801774920,-0.6296897360603129,0.01549996418879771
"2019-08-02/02:43:04",0.7769545673590542,-0.6294037073275380,0.01387708406891271
"2019-08-02/02:43:19",0.7784836842819867,-0.6274848589262654,0.01503014055252780
"2019-08-02/02:43:34",0.7773299222652638,-0.6289068540465581,0.01530884986992657
"2019-08-02/02:43:49",0.7794605916598163,-0.6262934958781295,0.01405855860606930
"2019-08-02/02:44:04",0.7785629353149547,-0.6273724483067343,0.01560662869986223
"2019-08-02/02:44:19",0.7795730745862529,-0.6261524596703649,0.01410385156220780
"2019-08-02/02:44:34",0.7801195177648488,-0.6254351891285447,0.01563208885855056
