f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
233.49999999999997,109,117.38769293575217,114.64837743324738,89.58121867666861,92.13544458595413,90.12976394289973,2.267880735367785,21.385655970100416,-76.41115975544992,58.52513651585558,-4030.095376259051,4628.982778507413,-1091.0730261843191
233.49999999999997,110,117.40901052870468,114.71038793621184,89.56968140223782,92.13455463896987,90.12923988734872,2.266978982050697,21.357977707925592,-76.37937480114795,58.4370501897377,-4079.654045581393,4698.833859914404,-1090.6142474952992
233.49999999999997,111,117.43160819955813,114.77422658286514,89.55867512189879,92.1336600945986,90.12871850694194,2.2660924153288335,21.32986724956341,-76.34715449336727,58.34849669415793,-4128.384098672991,4767.438604665803,-1090.1675438422699
233.49999999999997,112,117.45544591426871,114.8398325831026,89.54818354898516,92.13276133681404,90.12819985249185,2.265221217632253,21.301341045594228,-76.3145182944291,58.25945530618329,-4176.27227262874,4834.778535590521,-1089.733006117155
233.49999999999997,113,117.4804832386029,114.90714498963841,89.53819028107426,92.13185874613437,90.1276844770616,2.2643656705778135,21.27241568690846,-76.2814855497109,58.16993322997035,-4223.305371501625,4900.835403529236,-1089.3107432241634
233.49999999999997,114,117.50667935566055,114.97610135852284,89.52867883781485,92.13095274724168,90.12717235175347,2.2635262718065197,21.243107894301943,-76.24807608302794,58.080004919175195,-4269.470257758182,4965.591228192668,-1088.9009845183855
233.49999999999997,115,117.53399312018502,115.04663933235841,89.51963260467633,92.13004371829354,90.12666384401001,2.2627030337396925,21.213434485247397,-76.21430951248004,57.98961758791636,-4314.753918849106,5029.02825521486,-1088.503699256662
233.49999999999997,116,117.56238286908817,115.1186952905276,89.51103496771569,92.1291320842927,90.12615921950884,2.261896364688097,21.18341257138444,-76.18020584369548,57.89882242274838,-4359.143449918456,5091.129020142036,-1088.11901166031
233.49999999999997,117,117.59180676310028,115.19220532054842,89.50286928058844,92.12821824964806,90.12565856053324,2.2611066002030173,21.153059284570823,-76.14578505598449,57.80765595261289,-4402.626043690734,5151.876309203558,-1087.7470396145795
233.49999999999997,118,117.62222265117512,115.26710499290982,89.49511886504305,92.12730260459534,90.1251622792042,2.260333817943113,21.122391915644954,-76.1110672091854,57.71610460832749,-4445.188994340575,5211.253179082496,-1087.3877804378278
233.49999999999997,119,117.65358816731812,115.34332938286937,89.48776710240047,92.12638556157256,90.12467051504692,2.259578357054555,21.09142780510382,-76.07607243585161,57.624209910805845,-4486.819685686664,5269.24296221591,-1087.04132942503
233.49999999999997,120,117.68586087462198,115.42081292725665,89.48079741132747,92.12546751923259,90.12418357069481,2.258840518267024,21.06018449485619,-76.04082103026388,57.53197714379016,-4527.5057487833465,5325.82926679957,-1086.7076005319648
233.49999999999997,121,117.71899796067845,115.49948978463944,89.47419330526998,92.12454890082327,90.12370158245488,2.258120537190822,21.028679465149555,-76.00533327128937,57.439466405760285,-4567.234768397531,5380.996063038888,-1086.386773678884
233.49999999999997,122,117.7529567482152,115.57929388354141,89.46793835188065,92.12363012793593,90.12322484859719,2.257418560954692,20.99693055272395,-75.96962940932092,57.346630104163445,-4605.994619931295,5434.727529526706,-1086.0786730544344
233.49999999999997,123,117.78769435582812,115.6601588026776,89.46201629801786,92.12271160195397,90.12275360363626,2.2567348426378753,20.96495525009087,-75.93372980703026,57.25353620282462,-4643.773207025095,5487.008164619587,-1085.7834101832564
233.49999999999997,124,117.82316794035667,115.74201778698517,89.45641101869575,92.12179373966165,90.12228804699367,2.256069712207183,20.932771429754073,-75.89765483000735,57.16022779840317,-4680.558621322956,5537.822772163346,-1085.50084373658
