,f,att_rot,res_med,G1,G2,G3,th1,th2,th3,ph1,ph2,ph3,O1/G1,O2/G2,O3/G3
51,233.49,"[0.9484398233290875, -0.31661884118063277, 0.014642777500259866]",768.5386468,120.8634477,118.3589829,88.68502223,90.39069152,88.75887423,2.224690265,21.69608579,-76.5731547,-19.06209124,1479.700648,-3309.190391,-520.2754204
52,233.49,"[0.9589117939053521, -0.28332203648963744, 0.014723965110797725]",579.563028,121.4797147,120.1038377,88.33719922,90.38859145,88.78058454,2.302308919,20.86704025,-75.68819431,-19.65814399,1050.09397,-2650.890686,-550.8463565
53,233.49,"[0.9682154781697813, -0.2496800475395936, 0.014787213837901035]",393.0027861,122.0300057,121.6276356,88.03299614,90.38694881,88.79882315,2.372865729,20.15498414,-74.94454386,-20.16304568,576.0344938,-1945.808098,-585.1538864
54,233.49,"[0.9763395410162218, -0.21573386191188576, 0.014832446622738539]",273.5527212,122.47111,122.8509997,87.77250435,90.38587811,88.81306628,2.434020201,19.58112614,-74.35782715,-20.57399557,60.9957294,-1197.87658,-622.9955779
55,233.49,"[0.9832740845255115, -0.1815248378046922, 0.01485960835612949]",312.1414139,122.7602076,123.6961973,87.55575043,90.38548847,88.82281745,2.483412802,19.16589402,-73.94324189,-20.88790137,-490.196013,-411.6243703,-663.986781
56,233.49,"[0.9890106600245682, -0.14709465364439134, 0.014868665945685693]",435.6900724,122.8585078,124.0930845,87.38272215,90.38587581,88.82762061,2.518824859,18.92806125,-73.71537162,-21.10138719,-1071.342009,407.8046196,-707.5478386
57,233.49,"[0.9935422783797985, -0.11248525730681923, 0.01485960835612949]",601.041989,122.7352655,123.9856314,87.25339368,90.38711512,88.82707472,2.538328145,18.88381774,-73.68796298,-21.21058539,-1674.896405,1254.597141,-752.9106133
58,233.49,"[0.9968634185122786, -0.07773881501024432, 0.014832446622738539]",801.5063025,122.371649,123.3382345,87.16775353,90.38925208,88.82085018,2.540492532,19.04581559,-73.87364602,-21.21130373,-2292.042531,2122.182841,-799.141065
59,233.49,"[0.9989700341243398, -0.042897659942325916, 0.014787213837901035]",1001.794788,121.7637941,122.1408528,87.1258235,90.39229665,88.80870768,2.524504142,19.42225247,-74.28357316,-21.09875928,-2912.833378,3003.117007,-845.1869002
60,233.49,"[0.9998595586293578, -0.008004240683645747, 0.014723965110797725]",1181.51501,120.9244258,120.4120218,87.12767358,90.39621744,88.79051994,2.490297939,20.01605367,-74.92695705,-20.86771617,-3526.410869,3888.945816,-889.9396898
61,233.49,"[0.9483753226444284, -0.31650230270948276, -0.02026178123144399]",771.9337584,123.3986168,122.8918879,89.1212978,90.3847825,88.7968764,2.279135746,20.26879857,-75.04095472,-19.52381965,2393.75552,-4532.837039,-461.209408
62,233.49,"[0.958840913979161, -0.2832257815322557, -0.02018064307820485]",564.475623,123.985173,124.6105162,88.7198898,90.38273411,88.81761564,2.355003083,19.46254439,-74.20973031,-20.07660655,1951.65959,-3857.249133,-491.879054
63,233.49,"[0.9681389306905135, -0.24960428637290408, -0.02011743288051717]",451.5874622,124.4524477,126.00462,88.36319842,90.3812871,88.83414307,2.421303224,18.80166542,-73.5433375,-20.52819769,1459.580196,-3131.032364,-526.7370701
64,233.49,"[0.9762580445773729, -0.21567877984428538, -0.020072227650270037]",373.4495738,124.7486358,126.9814131,88.05111688,90.38057011,88.84590549,2.475373773,18.30939832,-73.0582524,-20.87532262,921.6227437,-2358.503077,-565.5288442
65,233.49,"[0.9831883637501218, -0.18149059495028103, -0.020045082463073183]",437.3649496,124.8259648,127.4559496,87.78348737,90.38069855,88.85239336,2.514673997,18.00724038,-72.77027279,-21.11434238,343.4529461,-1544.586084,-607.7781651
66,233.49,"[0.9889214446823814, -0.14708138472789817, -0.020036030391155812]",573.6249091,124.6457897,127.3593016,87.56013311,90.38176483,88.85315625,2.536982854,17.91386946,-72.69429859,-21.24112879,-267.7019596,-694.8543953,-652.7809911
67,233.49,"[0.99345030249815, -0.1124930714994603, -0.020045082463073183]",765.6865407,124.1836022,126.6466148,87.38089133,90.38382866,88.84782022,2.540626698,18.04403491,-72.84405248,-21.25110232,-903.1040367,184.3862961,-699.6205132
68,233.49,"[0.9967694194817956, -0.07776779579671503, -0.020072227650270037]",961.0978581,123.4330648,125.303746,87.24563919,90.3869087,88.83610813,2.524653382,18.40748479,-73.23171231,-21.13908101,-1552.618985,1085.969944,-747.2113806
69,233.49,"[0.9988747518005447, -0.04294786501908751, -0.02011743288051717]",1151.811111,122.4082116,123.3511943,87.15431177,90.39097598,88.81786312,2.488976842,19.00800024,-73.86742691,-20.89932657,-2204.91158,2001.70915,-794.3655906
70,233.49,"[0.9997637344312685, -0.008075701888631104, -0.02018064307820485]",1335.962762,121.1431905,120.8443945,87.10690493,90.39595101,88.79307545,2.434407942,19.84264167,-74.75869203,-20.52541333,-2847.745568,2922.221238,-839.876384
71,233.49,"[0.9471553727151466, -0.31600015493592354, -0.055141654103805476]",802.6411085,126.1356898,127.6661234,89.62197434,90.37890507,88.83334788,2.32122368,18.87504688,-73.5960927,-19.87360145,3344.756265,-5768.24129,-402.2263064
72,233.49,"[0.9576018340974066, -0.28278445958766396, -0.05506066426220641]",675.2965328,126.6395708,129.254227,89.16545234,90.3770589,88.85227996,2.39224764,18.1223941,-72.84612927,-20.37070502,2884.757798,-5071.010234,-433.3736737
73,233.49,"[0.9668828550545692, -0.24922442083186197, -0.05499756960582346]",580.2587813,126.9538412,130.3855151,88.75488967,90.37598912,88.86616473,2.450671611,17.54844232,-72.28726963,-20.75465431,2368.549936,-4319.078388,-469.2342426
74,233.49,"[0.97498712809223, -0.2153609264062139, -0.05495244700577642]",487.9483969,127.0202447,130.9578399,88.38998193,90.37583285,88.87443524,2.493628236,17.17768256,-71.93659469,-21.02155839,1801.096989,-3517.175997,-509.4686112
75,233.49,"[0.9819047794020597, -0.18123523376240594, -0.05492535143700287]",615.6086707,126.7907486,130.8870661,88.07039821,90.37670181,88.87658879,2.518581855,17.03152413,-71.81019808,-21.16693751,1189.156359,-2670.653503,-553.470704
76,233.49,"[0.98762738089152, -0.14688891980026456, -0.054916315911279594]",774.1664672,126.2339768,130.1172831,87.79582132,90.37867181,88.87220542,2.523603303,17.12701043,-71.92291181,-21.18577072,541.2539861,-1785.553667,-600.368779
77,233.49,"[0.9921479604521954, -0.1123638302127086, -0.05492535143700287]",965.9494593,125.3404943,128.6293355,87.56598035,90.38177155,88.86096933,2.507589138,17.47556863,-72.28793396,-21.07235431,-132.4012874,-868.7425993,-649.0634194
78,233.49,"[0.9954610104542327, -0.07770202850321806, -0.05495244700577642]",1126.255499,124.125743,126.4459227,87.38067347,90.38597512,88.84269456,2.470441573,18.08188715,-72.91632191,-20.82037624,-820.084981,71.90670944,-698.2942352
