f,att_rot,G1,G2,G3,th1,th2,th3,ph1,ph2,,ph3,O1/G1,O2/G2,O3/G3
233.68,119,122.5009605,127.9766312,91.76878875,91.13346963,89.57178609,2.929885074,16.12497259,-70.24047033,88.30432585,-19.91542361,-3881.689731,4159.930931,-688.5909598
233.68,120,122.3055317,127.624333,91.74557166,91.13524508,89.57057286,2.914452686,16.22630852,-70.33762684,88.51284375,-19.82277426,-3957.25127,4265.894206,-695.1329749
233.68,121,122.1104756,127.2712401,91.72328451,91.13703171,89.56934442,2.899033317,16.3287307,-70.43606927,88.72264449,-19.72926357,-4031.548839,4370.438182,-701.5223051
233.68,122,121.9158945,126.9175607,91.70191417,91.1388284,89.56810153,2.883638184,16.43217568,-70.53574422,88.93362122,-19.63494732,-4104.55798,4473.525928,-707.7579961
233.68,123,121.721889,126.5635002,91.6814472,91.14063398,89.56684498,2.868274777,16.53657963,-70.63659761,89.14566731,-19.53985949,-4176.255122,4575.121185,-713.8397491
233.68,124,121.5285574,126.2092606,91.66187033,91.14244723,89.56557535,2.852951718,16.64187888,-70.73857507,89.3586772,-19.44404466,-4246.617724,4675.188487,-719.767308
233.68,125,121.3359959,125.8550399,91.64317001,91.14426715,89.5642934,2.837673674,16.74800981,-70.84162196,89.57254584,-19.34752148,-4315.624175,4773.693205,-725.540696
233.68,126,121.1442986,125.5010328,91.62533342,91.14609245,89.56299987,2.822452579,16.85490884,-70.94568316,89.78716911,-19.25036179,-4383.253827,4870.601423,-731.1595871
233.68,127,120.9535561,125.1474301,91.60834729,91.14792205,89.5616954,2.807294005,16.96251336,-71.05070344,90.00244358,-19.15259462,-4449.487231,4965.88011,-736.6241012
233.68,128,120.763857,124.7944181,91.59219864,91.1497549,89.56038073,2.792204981,17.07076077,-71.15662736,90.21826734,-19.05426184,-4514.305799,5059.497067,-741.9345125
233.68,129,120.5752874,124.4421789,91.57687458,91.15158992,89.5590565,2.77719204,17.17958889,-71.26339936,90.43453887,-18.9554056,-4577.691949,5151.420947,-747.0910624
233.68,130,120.3879309,124.0908901,91.56236253,91.15342599,89.5577235,2.762262234,17.28893591,-71.37096404,90.65115864,-18.85607151,-4639.629044,5241.621363,-752.0942029
233.68,131,120.201868,123.7407253,91.54864985,91.15526215,89.55638234,2.747420832,17.39874092,-71.47926551,90.86802729,-18.75629678,-4700.101544,5330.06863,-756.9444247
233.68,132,120.0171767,123.3918524,91.53572438,91.15709731,89.55503373,2.732676081,17.50894348,-71.58824852,91.08504775,-18.65614029,-4759.094772,5416.734244,-761.6421431
233.68,133,119.8339326,123.0444356,91.52357391,91.15893044,89.55367837,2.718031556,17.61948365,-71.69785749,91.30212353,-18.5556304,-4816.595078,5501.590352,-766.1881964
233.68,134,119.6522078,122.6986337,91.51218656,91.16076052,89.55231692,2.703492706,17.73030272,-71.80803723,91.51916011,-18.45481114,-4872.589809,5584.610181,-770.5833553
233.68,135,119.472072,122.354601,91.50155086,91.16258682,89.5509501,2.689066228,17.84134256,-71.91873264,91.73606379,-18.35373755,-4927.067236,5665.767845,-774.8282552
233.68,136,119.2935927,122.0124861,91.49165542,91.16440811,89.54957854,2.674756337,17.9525455,-72.0298891,91.95274311,-18.25244854,-4980.016428,5745.038464,-778.9239075
